Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Dramsvegen nord;20;100,0;24;24;0;20;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt i retning Grønnåsen;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-06T00:00+01:00;2022-01-07T00:00+01:00;2022-01-06;Totalt;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;2;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Dramsvegen nord;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt i retning Grønnåsen;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-07T00:00+01:00;2022-01-08T00:00+01:00;2022-01-07;Totalt;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;1;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;2;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Dramsvegen nord;8;100,0;24;24;0;8;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt i retning Grønnåsen;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-08T00:00+01:00;2022-01-09T00:00+01:00;2022-01-08;Totalt;14;100,0;24;24;0;14;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;2;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Dramsvegen nord;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt i retning Grønnåsen;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-09T00:00+01:00;2022-01-10T00:00+01:00;2022-01-09;Totalt;6;100,0;24;24;0;6;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;1;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;2;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt i retning Dramsvegen nord;24;100,0;24;24;0;24;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt i retning Grønnåsen;7;100,0;24;24;0;7;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-10T00:00+01:00;2022-01-11T00:00+01:00;2022-01-10;Totalt;31;100,0;24;24;0;31;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;1;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;2;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt i retning Dramsvegen nord;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt i retning Grønnåsen;4;100,0;24;24;0;4;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt;23;100,0;24;24;0;23;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;1;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;2;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt i retning Dramsvegen nord;21;100,0;24;24;0;21;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt i retning Grønnåsen;5;100,0;24;24;0;5;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;1;1;100,0;24;24;0;1;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;2;15;100,0;24;24;0;15;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt i retning Dramsvegen nord;15;100,0;24;24;0;15;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt i retning Grønnåsen;1;100,0;24;24;0;1;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;1;3;100,0;24;24;0;3;0,00;-;-;-;-;-;-;-;-
30868B1109333;Dramsvegen sykkel;KV7000 S4D1 m394;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;2;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
